202.41,0.03,15.44,0.08,0.03,13.52,0.08,0.380,0.002,
302.04,0.02,15.44,0.08,0.03,12,0.08,0.344,0.008,
401.46,0.03,15.28,0.08,0.03,10.64,0.08,0.312,0.008,
504.44,0.03,15.28,0.08,0.03,9.44,0.08,0.288,0.008,
607.43,0.03,15.28,0.08,0.03,8.24,0.08,0.256,0.008,
703.32,0.03,15.28,0.08,0.03,7.44,0.04,0.240,0.004,
801.6,0.3,15.20,0.08,0.03,6.72,0.04,218e-3,1e-3
910.10,0.3,15.28,0.08,0.03,6.12,0.04,0.208,0.004
1.0345e3,0.0002e3,15.20,0.08,0.03,5.44,0.04,0.192,0.004
2.0505e3,0.0003e3,15.20,0.08,0.03,2.92,0.02,112e-3,2e-3
3.0887e3,0.0003e3,15.20,0.08,0.03,1.93,0.02,78e-3,2e-3
4.0501e3,0.0003e3,15.20,0.08,0.03,1.536,0.008,50.4e-3,0.8e-3
5.0503e3,0.0003e3,15.20,0.08,0.03,1.232,0.008,47.2e-3,0.8e-3
6.1300e3,0.0003e3,15.20,0.08,0.03,1.016,0.008,39.2e-3,0.8e-3
7.078e3,0.003e3,15.20,0.08,0.03,0.880,0.008,34.4e-3,0.8e-3
8.176e3,0.003e3,15.20,0.08,0.03,0.764,0.04,29.6e-3,0.8e-3
9.0880e3,0.0003e3,15.20,0.08,0.03,0.688,0.04,27.2e-3,0.8e-3
10.186e3,0.0003e3,15.12,0.08,0.03,0.612,0.04,25e-3,1e-3,
